length,frequency
0,0
1,8
2,9
3,11
4,13
5,11
6,16
7,15
8,14
9,13
10,12
11,10
12,8
13,12
14,7
15,11
16,5
17,12
18,5
19,6
20,4
21,8
22,8
23,3
24,9
25,4
26,1
27,0
28,1
29,1
30,2
31,2
32,7
33,0
34,5
35,3
36,3
37,2
38,1
39,1
40,1
41,0
42,1
43,0
44,1
45,3
46,2
47,1
48,0
49,3
50,2
51,3
52,0
53,2
54,1
55,2
56,2
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
