length,frequency
0,0.0
1,0.5110220440881763
2,1.0
3,0.6633266533066132
4,0.42818971275885104
5,0.3032732130928524
6,0.22110888443553775
7,0.15030060120240482
8,0.1342685370741483
9,0.10287241148964596
10,0.07682030728122913
11,0.05678022712090848
12,0.04208416833667335
13,0.035404141616566465
14,0.025384101536406144
15,0.03006012024048096
16,0.022712090848363394
17,0.014028056112224449
18,0.012024048096192385
19,0.011356045424181697
20,0.004676018704074816
21,0.01002004008016032
22,0.006012024048096192
23,0.006680026720106881
24,0.0006680026720106881
25,0.0026720106880427524
26,0.0006680026720106881
27,0.004008016032064128
28,0.0026720106880427524
29,0.004008016032064128
30,0.005344021376085505
31,0.002004008016032064
32,0.0026720106880427524
33,0.0026720106880427524
34,0.0026720106880427524
35,0.002004008016032064
36,0.0026720106880427524
37,0.0026720106880427524
38,0.004008016032064128
39,0.002004008016032064
40,0.0013360053440213762
41,0.0013360053440213762
42,0.0
43,0.002004008016032064
44,0.0013360053440213762
45,0.0
46,0.0
47,0.0006680026720106881
48,0.0013360053440213762
49,0.0006680026720106881
50,0.0006680026720106881
51,0.0
52,0.0006680026720106881
53,0.0013360053440213762
54,0.0006680026720106881
55,0.002004008016032064
56,0.0006680026720106881
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0006680026720106881
